studyYear,studyDesign,plantingDate,harvestDate,germplasmName,observationLevel,observationUnitName,replicate,plotNumber,rowNumber,colNumber,Chalky seeds|LSU_01:0000107,Days to heading|LSU_01:0000130,Emergence date|LSU_01:0000128,Grain length average|LSU_01:0000102,Grain length-width ratio average|LSU_01:0000105,Grain whiteness average|LSU_01:0000106,Grain width average|LSU_01:0000103,Harvest moisture|LSU_01:0000136,Harvest weight|LSU_01:0000137,Heading date|LSU_01:0000129,Lodging|LSU_01:0000135,Plant height|LSU_01:0000132,Plot stand near flood|LSU_01:0000133,Ratoon moisture|LSU_01:0000139,Ratoon weight|LSU_01:0000140,Ratoon yield|LSU_01:0000141,Seedling vigor|LSU_01:0000131,Total milling percentage|LSU_01:0000101,Whole milling percentage|LSU_01:0000100,Yield
2024,RCBD,2024-February-26,2024-July-22,202L2141,plot,24_AYT_CL_RRS-rep1-202L2141_26,1,26,7,2,18,100,3/9/2024,7.15,3.31,40.1,2.16,21.7,14.87,6/17/2024,0,111,7,18.6,3.76,2318.936393,3,67.69,57.91,8821.517749
2024,RCBD,2024-February-26,2024-July-22,212L2252,plot,24_AYT_CL_RRS-rep1-212L2252_7,1,7,2,2,12,98,3/9/2024,6.96,3.12,32.6,2.23,18.3,15,6/15/2024,0,95,7,14.7,4.66,3011.69879,5,71.58,66.49,9285.042528
2024,RCBD,2024-February-26,2024-July-22,212M1076,plot,24_AYT_CL_RRS-rep1-212M1076_5,1,5,2,4,19.2,98,3/9/2024,5.88,2.28,37.8,2.58,17.4,18.33,6/15/2024,0,102,7,13.9,4.52,2948.615695,3,70.85,65.3,11471.31205
2024,RCBD,2024-February-26,2024-July-22,212M1144,plot,24_AYT_CL_RRS-rep1-212M1144_22,1,22,6,3,24.8,98,3/9/2024,5.99,2.27,43.7,2.64,17.8,18.43,6/15/2024,0,117,7,14.6,3.74,2419.948142,1,67.18,61.18,11478.04001
2024,RCBD,2024-February-26,2024-July-22,222L1075,plot,24_AYT_CL_RRS-rep1-222L1075_3,1,3,1,3,24.1,96,3/9/2024,6.71,2.98,43.7,2.25,16.2,18.51,6/13/2024,0,103,7,13.1,4.41,2903.58773,3,70.15,64.18,11752.24994
2024,RCBD,2024-February-26,2024-July-22,222L1082,plot,24_AYT_CL_RRS-rep1-222L1082_17,1,17,5,1,17.4,97,3/9/2024,6.75,3.12,42.1,2.16,19.4,17.72,6/14/2024,0,100,7,16.6,4.41,2786.642309,5,69.8,63.61,10821.04844
2024,RCBD,2024-February-26,2024-July-22,222L1147,plot,24_AYT_CL_RRS-rep1-222L1147_11,1,11,3,3,22.5,97,3/9/2024,7.08,3.34,43.5,2.12,18,19.53,6/14/2024,0,100,7,18.5,5.15,3180.104741,3,69.69,58.19,12133.51629
2024,RCBD,2024-February-26,2024-July-22,222L1161,plot,24_AYT_CL_RRS-rep1-222L1161_19,1,19,5,3,18.9,99,3/9/2024,6.7,3.02,43.5,2.22,22.3,16.15,6/16/2024,0,96,5,17.9,5.7,3545.639683,5,67.24,59.74,9507.451687
2024,RCBD,2024-February-26,2024-July-22,222M1096,plot,24_AYT_CL_RRS-rep1-222M1096_10,1,10,3,2,9.9,99,3/9/2024,6.03,2.29,38.6,2.63,18.4,19.6,6/16/2024,0,108,7,12.4,4.12,2734.499881,3,70.15,66.31,12117.60556
2024,RCBD,2024-February-26,2024-July-22,CL153,plot,24_AYT_CL_RRS-rep1-CL153_18,1,18,5,2,16.4,98,3/9/2024,6.73,3.14,43.2,2.14,18.4,16.3,6/15/2024,0,104,7,19.1,4.37,2678.591863,3,69.96,64.13,10077.39646
2024,RCBD,2024-February-26,2024-July-22,CLHA03,plot,24_AYT_CL_RRS-rep1-CLHA03_13,1,13,4,4,21.5,97,3/9/2024,6.58,2.85,44.9,2.31,18.1,15.41,6/14/2024,0,103,7,16.7,4.77,3010.509257,3,68.92,62.47,9562.184569
2024,RCBD,2024-February-26,2024-July-22,CLJ01,plot,24_AYT_CL_RRS-rep1-CLJ01_9,1,9,3,1,9,98,3/9/2024,6.85,3.26,31.9,2.1,19.1,15.36,6/15/2024,0,102,7,16.8,4.36,2748.440896,5,70.57,66.61,9414.783098
2024,RCBD,2024-February-26,2024-July-22,CLL18,plot,24_AYT_CL_RRS-rep1-CLL18_28,1,28,7,4,31.4,99,3/9/2024,6.78,3.17,44.6,2.14,42.1,17.98,6/16/2024,0,100,5,21.4,5.64,3358.754309,3,66.7,56.84,7887.490203
2024,RCBD,2024-February-26,2024-July-22,CLL19,plot,24_AYT_CL_RRS-rep1-CLL19_2,1,2,1,2,24.2,95,3/9/2024,6.67,3.02,43.7,2.21,16.7,17.58,6/12/2024,0,96,7,14.8,4.11,2653.126779,3,69.69,61.94,11095.18259
2024,RCBD,2024-February-26,2024-July-22,CLM04,plot,24_AYT_CL_RRS-rep1-CLM04_25,1,25,7,1,15.1,98,3/9/2024,5.82,2.23,39.7,2.61,19.7,18.1,6/15/2024,0,115,7,17.2,3.98,2496.835873,3,68.07,62.93,11011.96194
2024,RCBD,2024-February-26,2024-July-22,CLM05,plot,24_AYT_CL_RRS-rep1-CLM05_21,1,21,6,4,22.3,98,3/9/2024,6.21,2.44,42.3,2.55,18.3,18.78,6/15/2024,0,109,7,15.1,5.4,3473.585847,1,67.07,62.88,11624.87325
2024,RCBD,2024-February-26,2024-July-22,MP6_397,plot,24_AYT_CL_RRS-rep1-MP6_397_29,1,29,8,4,24.4,96,3/9/2024,6.9,3.29,45.1,2.1,16.3,16.31,6/13/2024,0,107,7,21,5.76,3447.673742,3,69.48,61.17,10343.08278
2024,RCBD,2024-February-26,2024-July-22,RU1902034,plot,24_AYT_CL_RRS-rep1-RU1902034_8,1,8,2,1,28.8,97,3/9/2024,6.79,3,41.9,2.26,17.4,17.82,6/14/2024,0,101,7,16.2,4.48,2844.452064,3,68.41,59.37,11152.14298
2024,RCBD,2024-February-26,2024-July-22,RU2102217,plot,24_AYT_CL_RRS-rep1-RU2102217_1,1,1,1,1,37.7,93,3/9/2024,6.94,3.04,43.5,2.28,17.9,18.98,6/10/2024,0,100,7,12.3,3.94,2618.016635,3,69.34,58.97,11806.19486
2024,RCBD,2024-February-26,2024-July-22,RU2102222,plot,24_AYT_CL_RRS-rep1-RU2102222_6,1,6,2,3,12.4,97,3/9/2024,7.08,3.4,41.2,2.08,17.6,16.79,6/14/2024,0,94,7,17.3,5.33,3339.714215,5,71.32,66.12,10482.10461
2024,RCBD,2024-February-26,2024-July-22,19T-029-4,plot,24_AYT_CL_RRS-rep2-19T-029-4_33,2,33,9,1,15.8,98,3/9/2024,6.53,2.86,43.9,2.28,19,17.29,6/15/2024,0,105,7,15.3,4.41,2830.07918,5,69.04,61.63,10610.86023
2024,RCBD,2024-February-26,2024-July-22,19T-030-24,plot,24_AYT_CL_RRS-rep2-19T-030-24_60,2,60,15,4,20.5,96,3/9/2024,6.91,3.07,42.8,2.25,19.1,16.79,6/13/2024,0,101,7,17.6,6.2,3870.753256,3,69.77,64.23,10291.2896
2024,RCBD,2024-February-26,2024-July-22,19T-033-31,plot,24_AYT_CL_RRS-rep2-19T-033-31_55,2,55,14,2,15.9,98,3/9/2024,6.7,3.13,43.2,2.14,18.8,16.73,6/15/2024,0,109,7,17.5,5.28,3300.383883,5,70.1,63.66,10292.53973
2024,RCBD,2024-February-26,2024-July-22,19T-033-35,plot,24_AYT_CL_RRS-rep2-19T-033-35_54,2,54,14,3,20.5,98,3/9/2024,6.79,3.23,42.8,2.1,19.4,17.63,6/15/2024,0,105,7,19.2,5.32,3256.863669,3,69.73,63.53,10766.08826
2024,RCBD,2024-February-26,2024-July-22,19T-033-38,plot,24_AYT_CL_RRS-rep2-19T-033-38_56,2,56,14,1,21.4,99,3/9/2024,6.78,3.23,43.2,2.1,18.4,16.84,6/16/2024,0,110,7,16.3,4.39,2783.982909,5,69.22,62.65,10411.24886
2024,RCBD,2024-February-26,2024-July-22,19T-033-63,plot,24_AYT_CL_RRS-rep2-19T-033-63_43,2,43,11,3,18.2,99,3/9/2024,6.58,3.03,43.9,2.17,19.1,16.6,6/16/2024,0,103,7,18.7,5.22,3215.419455,5,69.31,62.24,10174.83069
2024,RCBD,2024-February-26,2024-July-22,19T-179-23,plot,24_AYT_CL_RRS-rep2-19T-179-23_47,2,47,12,2,18.7,98,3/9/2024,5.99,2.26,42.1,2.65,20.7,19.45,6/15/2024,0,121,7,17.4,4.89,3060.310504,3,67.07,60.71,11685.93253
2024,RCBD,2024-February-26,2024-July-22,19T-183-CL-1,plot,24_AYT_CL_RRS-rep2-19T-183-CL-1_52,2,52,13,4,33.6,97,3/9/2024,5.74,2.27,39.4,2.53,20.3,20.63,6/14/2024,0,111,7,19.3,5.01,3063.288124,3,67.64,61.57,12457.42069
2024,RCBD,2024-February-26,2024-July-22,19T-183-CL-6,plot,24_AYT_CL_RRS-rep2-19T-183-CL-6_39,2,39,10,2,27.7,95,3/9/2024,5.89,2.43,42.3,2.42,19.1,20.02,6/12/2024,0,105,7,17.2,4.25,2666.219211,3,68.52,60.2,12271.09099
2024,RCBD,2024-February-26,2024-July-22,202L2096,plot,24_AYT_CL_RRS-rep2-202L2096_59,2,59,15,3,10.9,99,3/9/2024,7.02,3.24,34.5,2.17,21.1,15.24,6/16/2024,0,122,7,20.2,4.67,2823.555694,3,69.61,64.75,9110.297346
2024,RCBD,2024-February-26,2024-July-22,202L2141,plot,24_AYT_CL_RRS-rep2-202L2141_48,2,48,12,1,20.7,101,3/9/2024,7.09,3.22,41.2,2.2,24.4,14.58,6/18/2024,0,119,7,19.9,3.66,2221.212905,5,66.69,56.59,8351.219549
2024,RCBD,2024-February-26,2024-July-22,212L2252,plot,24_AYT_CL_RRS-rep2-212L2252_35,2,35,9,3,13.4,97,3/9/2024,6.96,3.16,33.8,2.2,17.7,15.39,6/14/2024,0,98,5,16.1,5.19,3299.179197,3,70.94,65.14,9596.41535
2024,RCBD,2024-February-26,2024-July-22,212M1076,plot,24_AYT_CL_RRS-rep2-212M1076_37,2,37,10,4,17.7,96,3/9/2024,5.87,2.29,38,2.56,18.3,17.63,6/13/2024,0,104,5,17.1,4.1,2575.223779,1,70.22,63.86,10913.01999
2024,RCBD,2024-February-26,2024-July-22,212M1144,plot,24_AYT_CL_RRS-rep2-212M1144_41,2,41,11,1,25.2,98,3/9/2024,6.05,2.29,43.2,2.64,18.8,17.76,6/15/2024,0,119,7,15,3.41,2196.088771,1,66.87,53.08,10926.21073
2024,RCBD,2024-February-26,2024-July-22,222L1075,plot,24_AYT_CL_RRS-rep2-222L1075_32,2,32,8,1,20.1,98,3/9/2024,6.61,2.9,44.2,2.28,18.8,16.1,6/15/2024,0,103,7,15.2,4.05,2602.120847,5,68.93,61.9,9904.954548
2024,RCBD,2024-February-26,2024-July-22,222L1082,plot,24_AYT_CL_RRS-rep2-222L1082_44,2,44,11,4,17.8,97,3/9/2024,6.78,3.11,42.8,2.18,20.2,17.93,6/14/2024,0,109,5,16.4,5.15,3262.04609,5,69.15,62.51,10840.61105
2024,RCBD,2024-February-26,2024-July-22,222L1147,plot,24_AYT_CL_RRS-rep2-222L1147_49,2,49,13,1,21.7,98,3/9/2024,6.95,3.26,46.6,2.13,20.3,17.73,6/15/2024,0,104,7,19,4.08,2503.927607,3,68.42,55.85,10706.25637
2024,RCBD,2024-February-26,2024-July-22,222L1161,plot,24_AYT_CL_RRS-rep2-222L1161_53,2,53,14,4,18.2,96,3/9/2024,6.69,3.04,44.2,2.2,22.6,15.58,6/13/2024,0,96,5,17.6,6.68,4170.424475,5,66.68,59.48,9136.481848
2024,RCBD,2024-February-26,2024-July-22,222M1096,plot,24_AYT_CL_RRS-rep2-222M1096_57,2,57,15,1,9.5,99,3/9/2024,6.06,2.32,40.3,2.61,19.3,17.71,6/16/2024,0,106,7,11.3,4.2,2822.601037,3,69.92,66.72,10828.35979
2024,RCBD,2024-February-26,2024-July-22,CL153,plot,24_AYT_CL_RRS-rep2-CL153_51,2,51,13,3,17.2,98,3/9/2024,6.76,3.1,42.5,2.18,19.1,17.57,6/15/2024,0,101,7,19.5,5.37,3275.267325,3,70.63,65.85,10769.38405
2024,RCBD,2024-February-26,2024-July-22,CLHA03,plot,24_AYT_CL_RRS-rep2-CLHA03_46,2,46,12,3,21.3,96,3/9/2024,6.56,2.84,45.4,2.31,19.4,15.32,6/13/2024,0,101,7,16.3,4.26,2701.541502,3,68.49,60.82,9355.443683
2024,RCBD,2024-February-26,2024-July-22,CLJ01,plot,24_AYT_CL_RRS-rep2-CLJ01_50,2,50,13,2,5.3,99,3/9/2024,6.83,3.25,33,2.1,19.6,14.84,6/16/2024,0,98,7,17.1,5.15,3234.732307,3,71.7,68.16,9039.835579
2024,RCBD,2024-February-26,2024-July-22,CLL18,plot,24_AYT_CL_RRS-rep2-CLL18_45,2,45,12,4,30.4,99,3/9/2024,6.61,3.12,44.9,2.12,21.8,16.72,6/16/2024,0,114,5,19.3,4.94,3020.487691,3,64.91,53.05,9906.34863
2024,RCBD,2024-February-26,2024-July-22,CLL19,plot,24_AYT_CL_RRS-rep2-CLL19_36,2,36,9,4,28.2,95,3/9/2024,6.61,2.92,44.4,2.26,16.8,16.32,6/12/2024,0,90,5,19.8,5.23,3177.990859,3,69.4,61.43,10287.59983
2024,RCBD,2024-February-26,2024-July-22,CLM04,plot,24_AYT_CL_RRS-rep2-CLM04_31,2,31,8,2,15.5,98,3/9/2024,5.84,2.24,39.4,2.61,20,17.76,6/15/2024,0,103,5,16.9,3.95,2486.993819,3,69.27,64.8,10764.73964
2024,RCBD,2024-February-26,2024-July-22,CLM05,plot,24_AYT_CL_RRS-rep2-CLM05_38,2,38,10,3,17.2,98,3/9/2024,6.29,2.46,41.4,2.56,18.2,17.82,6/15/2024,0,110,7,15,4.45,2865.863645,1,67.04,62.53,11044.13191
2024,RCBD,2024-February-26,2024-July-22,MP6_397,plot,24_AYT_CL_RRS-rep2-MP6_397_58,2,58,15,2,26.6,98,3/9/2024,6.9,3.32,46.1,2.08,17.4,16.5,6/15/2024,0,103,7,15.5,5,3201.129914,3,69.73,61.09,10326.05831
2024,RCBD,2024-February-26,2024-July-22,RU1902034,plot,24_AYT_CL_RRS-rep2-RU1902034_40,2,40,10,1,25.1,98,3/9/2024,6.66,2.99,43.5,2.23,18,16.35,6/15/2024,0,102,5,16.3,4.26,2701.541502,5,67.4,58.67,10157.85926
2024,RCBD,2024-February-26,2024-July-22,RU2102217,plot,24_AYT_CL_RRS-rep2-RU2102217_42,2,42,11,2,34.9,95,3/9/2024,6.9,3.01,45.8,2.29,19.3,16.17,6/12/2024,0,95,7,18.8,5.68,3494.467064,3,69.04,58.36,9886.763289
2024,RCBD,2024-February-26,2024-July-22,RU2102222,plot,24_AYT_CL_RRS-rep2-RU2102222_34,2,34,9,2,15.4,98,3/9/2024,7.03,3.35,43,2.1,18.4,16.01,6/15/2024,0,100,7,16.7,4.29,2707.564929,3,70.65,64.57,9898.105361
2024,RCBD,2024-February-29,2024-July-30,19T-029-4,plot,24_AYT_CL_SF-rep1-19T-029-4_27,1,27,6,4,10.9,88,3/11/2024,6.39,2.8,46.1,2.28,12.9,14.4,6/7/2024,80,102,7,18.8,7.76,4774.131059,3,68.13,56.04,9502.792118
2024,RCBD,2024-February-29,2024-July-30,19T-030-24,plot,24_AYT_CL_SF-rep1-19T-030-24_11,1,11,3,1,16.5,87,3/11/2024,6.8,3.11,46.8,2.19,12.7,14.04,6/6/2024,0,91,7,15.1,4.15,2669.515049,3,67.77,57.9,9286.497223
2024,RCBD,2024-February-29,2024-July-30,19T-033-31,plot,24_AYT_CL_SF-rep1-19T-033-31_17,1,17,4,4,12.2,90,3/11/2024,6.51,3.06,45.4,2.13,13.3,13.08,6/9/2024,40,98,7,15.9,5.38,3428.110861,3,67.42,58.01,8592.062414
2024,RCBD,2024-February-29,2024-July-30,19T-033-35,plot,24_AYT_CL_SF-rep1-19T-033-35_20,1,20,4,1,11.8,88,3/11/2024,6.73,3.27,45.4,2.06,12,14.13,6/7/2024,40,103,7,15.6,5.68,3632.180052,3,67.78,59.09,9420.96555
2024,RCBD,2024-February-29,2024-July-30,19T-033-38,plot,24_AYT_CL_SF-rep1-19T-033-38_14,1,14,3,4,10.9,91,3/11/2024,6.71,3.21,44.4,2.09,14.7,14.63,6/10/2024,30,107,7,16.2,5.73,3638.104983,3,68.76,60.38,9455.052377
2024,RCBD,2024-February-29,2024-July-30,19T-033-63,plot,24_AYT_CL_SF-rep1-19T-033-63_12,1,12,3,2,10.6,90,3/11/2024,6.5,3.08,44.9,2.11,12.8,14.38,6/9/2024,30,103,7,16,5.74,3653.152188,3,68.73,59.72,9500.488852
2024,RCBD,2024-February-29,2024-July-30,19T-179-23,plot,24_AYT_CL_SF-rep1-19T-179-23_1,1,1,1,1,19.2,92,3/11/2024,6.02,2.27,41.6,2.65,15.4,18.94,6/11/2024,10,114,7,14.9,4.93,3178.725793,1,66.77,59.22,12140.06241
2024,RCBD,2024-February-29,2024-July-30,19T-183-CL-1,plot,24_AYT_CL_SF-rep1-19T-183-CL-1_7,1,7,2,4,19.1,93,3/11/2024,5.8,2.32,40.8,2.5,17.2,13.19,6/12/2024,30,107,7,17.6,4.32,2697.040978,3,66.45,54,8274.57533
2024,RCBD,2024-February-29,2024-July-30,19T-183-CL-6,plot,24_AYT_CL_SF-rep1-19T-183-CL-6_5,1,5,1,5,19.8,88,3/11/2024,5.84,2.42,40.8,2.41,16.5,11.8,6/7/2024,50,101,7,16.7,4.47,2821.169052,3,67.6,57.86,7465.15904
2024,RCBD,2024-February-29,2024-July-30,202L2096,plot,24_AYT_CL_SF-rep1-202L2096_6,1,6,2,5,6.9,94,3/11/2024,6.55,2.95,39.7,2.22,16.2,7,6/13/2024,80,111,7,17,5.45,3427.292584,3,67.6,55.14,4444.394898
2024,RCBD,2024-February-29,2024-July-30,202L2141,plot,24_AYT_CL_SF-rep1-202L2141_15,1,15,3,5,24.4,95,3/11/2024,7.04,3.34,43,2.11,14.1,13.88,6/14/2024,70,106,7,17.6,4.95,3090.359454,3,67.85,53.96,9033.440984
2024,RCBD,2024-February-29,2024-July-30,212L2252,plot,24_AYT_CL_SF-rep1-212L2252_19,1,19,4,2,7.4,87,3/11/2024,6.92,3.3,34.5,2.1,15,13.06,6/6/2024,0,94,7,13.3,3.71,2437.078923,3,70.59,63.16,8410.710494
2024,RCBD,2024-February-29,2024-July-30,212M1076,plot,24_AYT_CL_SF-rep1-212M1076_2,1,2,1,2,13.7,92,3/11/2024,5.91,2.27,38.6,2.6,14.5,12.3,6/11/2024,0,103,7,15.8,2.87,1830.925085,1,69.21,63.25,7967.862077
2024,RCBD,2024-February-29,2024-July-30,212M1144,plot,24_AYT_CL_SF-rep1-212M1144_26,1,26,6,5,18.7,92,3/11/2024,6,2.33,44.9,2.58,19,10.16,6/11/2024,80,105,7,15,4.29,2762.821357,1,66.68,51.01,6235.184495
2024,RCBD,2024-February-29,2024-July-30,222L1075,plot,24_AYT_CL_SF-rep1-222L1075_23,1,23,5,3,18.2,90,3/11/2024,6.7,3.07,46.1,2.18,13.2,13.09,6/9/2024,50,105,7,16.8,4.97,3132.970471,3,68.28,58.33,8608.548953
2024,RCBD,2024-February-29,2024-July-30,222L1082,plot,24_AYT_CL_SF-rep1-222L1082_29,1,29,6,2,11.4,88,3/11/2024,6.81,3.24,43.5,2.1,14.4,17.24,6/7/2024,0,107,7,14.4,4.98,3229.830222,3,67.85,59.36,11181.02473
2024,RCBD,2024-February-29,2024-July-30,222L1147,plot,24_AYT_CL_SF-rep1-222L1147_10,1,10,2,1,16.9,88,3/11/2024,6.9,3.24,48.3,2.13,13.7,14.6,6/7/2024,30,100,7,14.6,5.1,3299.929285,3,67.77,50.3,9546.281424
2024,RCBD,2024-February-29,2024-July-30,222L1161,plot,24_AYT_CL_SF-rep1-222L1161_25,1,25,5,5,17.4,87,3/11/2024,6.73,3.13,45.4,2.15,16.3,16.45,6/6/2024,20,99,7,16.6,4.82,3045.717898,3,67.74,53.78,10431.86461
2024,RCBD,2024-February-29,2024-July-30,222M1096,plot,24_AYT_CL_SF-rep1-222M1096_4,1,4,1,4,8.1,95,3/11/2024,5.85,2.24,39.4,2.61,14.8,15.06,6/14/2024,0,101,7,13.8,4.31,2814.888019,3,68.36,64.04,9721.54181
2024,RCBD,2024-February-29,2024-July-30,CL153,plot,24_AYT_CL_SF-rep1-CL153_30,1,30,6,1,10.4,88,3/11/2024,6.78,3.24,45.6,2.09,13.3,14.75,6/7/2024,0,100,7,15.7,4.83,3084.972464,3,69.41,62.5,9689.061209
2024,RCBD,2024-February-29,2024-July-30,CLHA03,plot,24_AYT_CL_SF-rep1-CLHA03_13,1,13,3,3,16.1,88,3/11/2024,6.52,2.92,47.1,2.23,13.6,14,6/7/2024,10,99,7,15.8,5.02,3202.524016,3,68.54,59.94,9164.575636
2024,RCBD,2024-February-29,2024-July-30,CLJ01,plot,24_AYT_CL_SF-rep1-CLJ01_22,1,22,5,2,2.7,94,3/11/2024,6.8,3.24,33.9,2.1,13.4,12.88,6/13/2024,10,102,7,13.6,4.48,2932.704753,3,71.1,66.81,8450.926737
2024,RCBD,2024-February-29,2024-July-30,CLL18,plot,24_AYT_CL_SF-rep1-CLL18_18,1,18,4,3,30,91,3/11/2024,6.57,3.11,46.1,2.11,14.2,20.52,6/10/2024,10,107,7,19.2,7.66,4689.39393,1,66.92,53.61,13339.36715
2024,RCBD,2024-February-29,2024-July-30,CLL19,plot,24_AYT_CL_SF-rep1-CLL19_9,1,9,2,2,23.3,87,3/11/2024,6.57,3.1,47.1,2.12,14.1,15.3,6/6/2024,30,100,7,15.2,5.38,3456.644483,3,67.66,56.26,9957.61146
2024,RCBD,2024-February-29,2024-July-30,CLM04,plot,24_AYT_CL_SF-rep1-CLM04_28,1,28,6,3,14.1,93,3/11/2024,5.88,2.29,40.1,2.57,16.2,18.99,6/12/2024,30,105,7,15.6,5.3,3389.18209,1,68.69,63.3,12057.00844
2024,RCBD,2024-February-29,2024-July-30,CLM05,plot,24_AYT_CL_SF-rep1-CLM05_24,1,24,5,4,13.1,92,3/11/2024,6.23,2.48,43.2,2.51,14.6,19,6/11/2024,0,108,7,16.3,5.96,3779.621444,3,66.88,60.12,12293.68422
2024,RCBD,2024-February-29,2024-July-30,MP6_397,plot,24_AYT_CL_SF-rep1-MP6_397_3,1,3,1,3,13.4,88,3/11/2024,6.84,3.32,44.6,2.06,12.1,12.86,6/7/2024,30,92,7,15.3,4.11,2637.556787,3,69.11,59.18,8564.468677
2024,RCBD,2024-February-29,2024-July-30,RU1902034,plot,24_AYT_CL_SF-rep1-RU1902034_8,1,8,2,3,20.2,88,3/11/2024,6.62,3.11,45.6,2.13,13.1,11.81,6/7/2024,70,102,7,19.4,5.8,3541.92713,3,67.5,52.85,7775.713596
2024,RCBD,2024-February-29,2024-July-30,RU2102217,plot,24_AYT_CL_SF-rep1-RU2102217_16,1,16,4,5,31.4,87,3/11/2024,6.91,3.14,47.1,2.2,17.8,14.19,6/6/2024,40,95,7,17.7,5.95,3710.166395,1,66.99,46.1,8837.405741
2024,RCBD,2024-February-29,2024-July-30,RU2102222,plot,24_AYT_CL_SF-rep1-RU2102222_21,1,21,5,1,15.1,88,3/11/2024,7.04,3.45,44.4,2.04,12.5,15.9,6/7/2024,0,99,7,16.8,6.64,4185.698979,3,69.67,59.89,10540.85305
2024,RCBD,2024-February-29,2024-July-30,19T-029-4,plot,24_AYT_CL_SF-rep2-19T-029-4_51,2,51,11,1,13.4,88,3/11/2024,6.44,2.75,43.5,2.34,14.9,17.7,6/7/2024,30,110,7,17.8,7.11,4428.105963,3,69.97,62.01,11412.30601
2024,RCBD,2024-February-29,2024-July-30,19T-030-24,plot,24_AYT_CL_SF-rep2-19T-030-24_31,2,31,7,1,13.7,86,3/11/2024,6.86,3.1,44.9,2.21,14.9,14.22,6/5/2024,30,105,7,14.9,4.94,3185.173513,3,68.54,59.69,9168.530587
