PLOT,SEASON,REP,SPECIES,RATE,TRTMT,CC_RATE,SOILTYPE,PH1,P1,K1,Ca1,Mg1,Na1,S1,Cu1,Zn1,Bases1,CEC1,OM1,NITR1,AMMON1,PH2,P2,K2,Ca2,Mg2,Na2,S2,Cu2,Zn2,Bases2,CEC2,OM2,CCNIT2,CCCarb2,CN_RATIO2,TOTNIT2,WeedBio2,CCBio2,NITR2,AMMON2,PH3,P3,K3,Ca3,Mg3,Na3,S3,Cu3,Zn3,Bases3,CEC3,OM3,NITR3,AMMON3,PLHT,POP,YLD
202,2,2,1,2,8,RADM,1,8.01,26.69,175.8,4658.68,299.66,46.24,21.6,1.8,1.45,26.42,12.53,1.8,1.44,0.28,8.1,24.45,150.98,4643.5,344.46,65.45,18.36,2.04,1.31,26.73,11.66,1.33,1.9,71.4,37.58,16.36,215.29,861.2,0.59,0.22,7.93,30.96,199.19,5044.26,321.97,22.05,14.99,1.89,1.62,28.49,12.24,1.62,1.95,0.49,41,91555.19,48.78
203,2,2,3,1,4,RYEL,1,8.06,23.62,142.64,5288.86,432.56,156.13,29.02,1.59,1.33,31.06,11.96,1.5,2.71,0.25,8.53,20.95,135.81,5183.07,390.32,56.28,16.98,1.79,1.35,29.73,11.91,1.45,1.31,47.5,36.33,14.07,0,1076.44,0.68,0.28,8.01,22.3,119.92,5526.25,396.87,36.7,17.94,1.73,1.68,31.38,11.8,1.4,1.1,0.27,41,64888.63,46.71
204,2,2,2,3,3,CCH,1,7.71,28.3,128.16,5563.42,441.99,707.44,74.6,1.75,1.56,34.87,12.04,1.5,2.51,0.3,8.06,18.69,149.89,5585.41,462.36,250.98,39.01,1.95,1.3,33.22,11.69,1.35,1.75,43.1,24.59,3.77,1076.44,215.29,0.54,0.19,8.15,23.7,173.48,5720.49,435.39,64.71,20.95,1.76,1.33,32.93,11.96,1.48,1.57,0.31,36.67,87110.76,43.16
205,2,2,2,1,1,CCL,1,7.78,20.71,210.26,5586.58,354.59,158.06,38.76,1.75,1.13,32.09,12.37,1.7,2.09,0.19,8.07,21.59,227.6,5364.22,422.59,236.48,36.67,1.8,1.47,31.92,12.67,1.84,1.82,40,21.92,7.86,215.29,430.57,0.62,0.34,7.86,25.02,175.73,6055.18,373.7,34.66,21.34,1.72,1.4,33.96,12.07,1.54,2.24,0.64,37,103110.7,39.02
206,2,2,3,3,6,RYEH,1,8.02,20.11,124.87,6968.17,526.07,535.5,67.42,1.43,1.07,41.84,11.91,1.5,1.9,0.23,8.15,15.04,116.51,6133.38,451.4,204.28,30.27,1.63,0.87,35.58,11.26,1.13,1.87,36.8,19.69,24.15,0,1291.72,0.42,0.2,8.22,18.76,134.58,7233.92,469.75,66.58,24.07,1.53,1.11,40.69,11.42,1.21,1.06,0.25,32.33,63999.74,37.25
207,2,2,1,1,7,RADL,1,8.15,16.62,140.78,7211.91,753.08,1122.22,162.37,1.15,1.12,47.52,11.96,1.5,3.43,0.24,8.69,21.09,151.3,7518.74,653.47,304.15,51.04,1.24,1.2,44.7,11.94,1.47,2.2,69.3,31.5,33.15,215.29,1507.04,0.54,0.18,8.23,14.64,126.06,7435.86,597.53,38,22.93,1.15,1.58,42.61,11.58,1.29,1.18,0.61,31,51555.35,43.16
208,2,2,3,2,5,RYEM,1,8.23,13.17,114.08,7217.11,554.03,261.29,46.6,1.11,1.35,42.09,12.15,1.6,1.84,0.24,8.24,9.89,123.07,5589.15,462.71,112.87,21.12,1.2,1.23,32.58,11.5,1.25,0,0,,0,430.57,0,0.44,0.21,8.26,14.23,132.12,7406.93,524.64,23.28,20.4,1.15,1.32,41.81,11.64,1.32,1.13,0.33,36.33,70221.94,43.45
209,2,2,2,2,2,CCM,1,8.22,15.15,118.3,8013.97,858.09,1071.25,182.32,1.03,1.61,52.12,11.75,1.4,2.86,0.17,8.65,13.44,134.94,7055.84,638.81,154.45,31.91,1.16,1.42,41.58,11.61,1.3,0,0,,0,1937.59,0,0.35,0.28,8.25,14.6,138.42,8200.84,555.9,21.25,22.05,1.08,1.42,46.04,11.39,1.2,1.13,0.21,31.67,44444.27,39.61
210,2,2,1,3,9,RADH,1,8.44,11.01,104.47,7148.14,714.33,450.23,63.05,1.01,1.36,43.87,11.77,1.4,1.62,0.21,8.23,14.22,130.24,7711.65,612.3,152.02,27.25,1.21,1.51,44.61,11.56,1.28,2.5,67.5,27,10.76,215.29,430.58,0.4,0.19,8.21,15.16,116.22,9013.53,541.93,24.89,23.24,1.67,1.41,49.95,11.96,1.48,1.23,0.3,32,52444.23,35.77
301,2,3,3,1,4,RYEL,1,7.79,22.56,185.04,5078.3,340.31,114.44,25.4,1.89,1.21,29.17,12.75,1.9,2.12,0.25,8.24,22.64,201.89,4503.76,312.17,47.77,16.26,2.04,1.27,25.82,12.34,1.67,2.54,29.2,11.52,32.76,0,1291.72,0.55,0.27,7.78,21.45,176.5,5084.74,326.74,19.07,15.26,2,1.23,28.66,12.18,1.59,1.21,0.28,43.67,79110.79,56.15
302,2,3,2,1,1,CCL,1,7.95,23.67,199.72,4623.43,277.73,28.36,19.11,1.91,2.25,26.05,12.64,1.8,2.11,0.28,8.04,21.39,149.95,4220.5,318.43,83.37,18.42,1.88,1.05,24.48,11.61,1.3,1.33,43.32,32.56,5.73,430.57,430.57,0.53,0.2,7.91,25.16,184.09,5058.94,327.85,25.99,16.25,1.97,1.34,28.59,12.24,1.62,1.72,0.39,42,104888.47,52.48
303,2,3,3,2,5,RYEM,1,8.05,23.77,143.78,5202,378.8,83.23,24.62,1.75,1.16,29.87,12.48,1.7,2.57,0.21,8.44,22.41,120.32,5006.06,390.99,84.77,19.2,2.05,1.14,28.94,11.69,1.35,1.93,39.34,20.35,24.96,0,1291.72,0.52,0.35,7.95,21.08,114.5,5362.72,391.24,75.8,19.55,1.77,1.27,30.67,11.83,1.41,1.78,1.1,39.33,79110.79,50.28
304,2,3,2,3,3,CCH,1,7.72,21.17,123.22,5805.63,480.4,601.48,57.72,1.74,1.01,35.93,12.32,1.7,3.2,0.21,8.03,18.67,158.97,5391.7,456.1,262.53,34.71,1.67,1.14,32.28,11.8,1.4,1.34,39.65,29.52,5.78,645.86,430.57,0.73,0.34,8.22,22.83,148.14,5367.78,424.91,63.82,20.87,1.66,1.12,31.01,11.53,1.26,1.06,0.43,35.33,101332.93,52.15
305,2,3,3,3,6,RYEH,1,7.78,23.24,177.76,5917.94,338.13,108.3,32.92,1.71,1.09,33.31,12.75,1.9,2.29,0.31,8.52,18.96,148.13,4927.43,395.15,71.19,18.29,1.8,0.88,28.59,11.77,1.39,2.45,40.64,16.61,57.93,0,2368.16,0.56,0.22,8.01,22.48,162.6,5886.42,367.58,29.1,19.08,1.9,1.15,33.01,12.18,1.59,1.41,0.32,39.33,56888.66,49.97
306,2,3,1,3,9,RADH,1,8.07,15.97,118.97,6408.1,508.01,428.21,53.69,1.39,0.9,38.4,11.91,1.5,2.73,0.17,8.02,14.96,129.69,6079.72,661.91,682.83,76.61,1.42,0.87,39.17,11.83,1.41,2.4,62.8,26.17,15.5,0,645.89,0.72,0.14,8.03,16.31,122.54,6510.96,485.4,46.82,21.84,1.41,0.91,37.08,11.53,1.26,1.11,0.45,29.33,61333.09,42.52
307,2,3,1,2,8,RADM,1,8.27,15.24,124,6799.25,569.36,455.83,63.56,1.22,0.92,41,11.94,1.5,2.61,0.24,8.21,9.72,117.54,5334.39,412.18,79.76,16.14,1.27,0.77,30.73,11.58,1.29,2.4,67,27.92,31,645.86,1291.75,0.48,0.54,8.3,16.93,135.86,7080.52,507.87,47.54,21.2,1.29,1.11,40.15,11.61,1.3,0.78,0.34,28.33,57777.55,51.53
308,2,3,4,0,10,FALL,1,7.91,13.57,131.11,7192.58,550.62,550.12,76.76,1.16,0.95,43.24,12.04,1.5,2.43,0.18,8.41,14.62,147.75,6988.52,559.72,251.39,38.17,1.15,1.22,41.04,11.88,1.44,0,0,,0,1937.59,0,0.4,0.35,8.06,15.65,133.83,7459.89,509.35,35.56,22.17,1.16,1.32,42.01,11.75,1.37,1.09,0.23,27,55999.78,50.59
309,2,3,1,1,7,RADL,1,8.52,12.43,95.39,7573.55,637.77,385.43,61.72,1.06,0.88,45.06,12.13,1.6,1.79,0.2,8.22,17.23,112.96,7765.4,501.57,122.53,27.17,1.19,0.98,43.79,11.42,1.21,1.8,81.2,45.11,7.75,430.57,430.59,0.42,0.41,8.26,13.13,110.43,8427.53,563.48,21.89,21.77,1.04,1.08,47.17,11.64,1.32,0.7,0.27,30.67,49777.58,45.63
310,2,3,2,2,2,CCM,1,8.02,14.41,121.82,7345.94,458.16,302.26,57.08,1.28,0.92,42.14,12.43,1.7,1.41,0.56,8.28,17.3,177.16,7224.91,390.4,83.01,20.83,1.27,1.07,40.17,11.91,1.45,0,32.2,,0,3014.02,215.29,0.47,0.44,7.88,16.31,142.47,7784.64,378.27,17.14,19.9,1.22,1.05,42.49,11.91,1.45,1.1,0.33,35.33,92444.07,56.18
101,2,1,1,1,7,RDL,2,7.59,126.28,630.73,4449.78,1016.85,4.81,4.7,5.31,3.38,32.29,21.06,3,1.64,0.37,7.64,125.14,592.83,4128.9,938.03,28.16,8.99,5.24,3.26,30.04,20.76,2.88,0,0,,0,0,0,0.2,0.5,7.65,103.62,538.83,4316.75,1027.19,21.35,7.33,5.38,3.06,31.54,20.79,2.9,0.24,0.37,33.33,107555.13,15.58
102,2,1,3,3,6,RYEH,2,7.53,77.73,646.68,4393,1043.73,8.81,3.63,5.15,2.41,32.28,21.2,3.1,2.07,0.36,8.17,51.76,476.24,6678.95,968.13,40.28,10.61,4.68,1.72,42.79,18.91,1.96,1.1,41.7,37.91,7.1,0,645.86,0.2,0.38,7.77,97.79,569.26,4771.03,1061.96,20.71,6.27,5.48,2.25,34.18,20.46,2.73,0.55,0.25,31.33,103110.7,18.5
103,2,1,4,0,10,FALL,2,7.86,81.63,630.47,4676.21,994.21,4.94,2.41,5.15,2.24,33.23,20.52,2.8,1.46,0.36,7.89,65.31,586.34,4889.7,1007.83,25.48,8.34,5.44,2.04,34.39,19.24,2.12,0,0,,0,0,0,0.26,0.5,7.94,95.36,610.5,4982.16,1018,26,6.19,5.35,2.31,35,19.16,2.08,0.36,0.22,32.67,87999.65,17.31
104,2,1,1,2,8,RADM,2,7.78,81.84,512.63,4986.47,889.57,7.7,2.38,5.05,2.39,33.63,19.95,2.5,1.8,0.44,8.31,23.87,390.32,7225.17,906.63,42.7,13.25,4.5,1.3,44.8,17.88,1.44,1.8,35.98,19.99,7.75,215.29,430.57,0.2,0.44,8.07,46.85,459.66,5096.52,1019.64,28.85,5.78,5.39,1.91,35.21,19.24,2.12,0.41,0.22,29,92444.07,15.44
105,2,1,2,3,3,CCH,2,7.93,68.35,600.35,4854.92,1004.87,3.1,3.83,5.24,2.58,34.13,20.19,2.6,1.78,0.44,7.81,85.46,564.99,4626.28,936.53,26.1,8.8,5.49,2.33,32.43,20,2.5,2.7,33.51,12.41,5.81,0,215.29,0.26,0.62,8.01,37.33,447.49,4930.5,988.26,29.99,5.3,5.13,1.56,34.09,19.11,2.05,0.37,0.13,29.33,110221.78,15.47
106,2,1,3,1,4,RYEL,2,7.93,73.23,663.59,4499.65,1018.74,8.67,1.79,5.2,3.5,32.65,20.52,2.8,1.45,0.34,8.12,46,474.53,6383.38,968.77,34.7,11.08,5.1,1.84,41.29,18.78,1.89,1.1,40.29,36.63,28.42,0,2583.45,0.31,0.77,7.87,87.6,568.42,4389.96,1006.68,21.74,6.47,5.41,2.55,31.82,21.25,3.13,0.7,0.38,29.33,86221.88,16.66
107,2,1,2,2,2,CCM,2,8.08,76.31,675.74,4938.78,885.79,14.95,1.86,4.96,3.71,33.81,20.33,2.7,1.32,0.32,8.01,75.76,514.07,5231.52,843.41,28.07,8.82,4.87,2.17,34.56,19.51,2.26,0,0,,0,430.57,0,0.4,0.6,7.96,37.45,466.61,6526.19,865.58,21.67,8.3,4.77,1.28,41.07,18.67,1.84,0.42,0.25,32,103999.58,15.77
108,2,1,1,3,9,RADH,2,8.02,95.26,537.26,4876.86,858.41,3.62,2.17,5.28,2.43,32.87,19.98,2.5,1.41,0.27,8.24,58.55,484.52,5247.79,887.03,33.36,8.87,4.96,1.93,34.95,18.59,1.79,2.5,35.04,14.02,16.15,0,645.86,0.18,0.62,7.77,89.9,540.87,4797.71,882.66,16.06,7.03,5.21,2.27,32.74,20.19,2.6,0.46,0.26,30.67,105777.35,13.45
109,2,1,3,2,5,RYEM,2,8.14,105.81,701.07,4559.84,953.57,1.7,1.61,5.67,2.78,32.48,20.27,2.6,0.82,0.66,7.81,59.95,543.34,4589.82,882.21,20.13,8.02,5.78,2.32,31.72,19.92,2.46,1,35.8,35.8,6.46,0,645.86,0.41,0.83,7.86,68.3,485.38,4457.17,886.94,19.15,5.08,5.75,2.12,30.94,19.84,2.42,0.37,0.22,32.67,91555.19,14.87
110,2,1,2,1,1,CCL,2,7.38,69.49,676.83,4058.79,980.01,22.18,1.59,5.28,2.77,30.22,20.65,2.8,1.83,0.38,8.2,37.11,450.08,4531.44,1017.09,32.77,8.28,5.54,2.13,32.36,19.05,2.03,0,0,,0,4305.75,0,0.23,0.33,7.7,72.44,610.47,5227.25,938.42,21.1,8.29,4.69,2.12,35.54,21.72,3.36,1.61,0.37,34,90666.3,13.86
201,2,2,4,0,10,FALL,2,7.5,77.13,593.68,4491.6,1087.97,10.66,4.49,5.13,2.62,33.01,22.2,3.6,1.65,0.41,7.69,67.28,566.77,4416.66,1034.06,32.17,8.79,5.15,2.6,32.22,20.9,2.95,0,0,,0,215.29,0,0.64,0.34,7.82,69.61,513.5,4502.47,994.69,17.5,5.73,5.06,2.16,32.12,19.92,2.46,0.43,0.2,36.33,111110.67,15.5
202,2,2,1,2,8,RADM,2,7.84,72.22,645.96,4895.78,1004.6,8.27,4.95,5.11,2.25,34.47,20.74,2.9,1.76,0.34,8.28,59.79,527,5617.16,928.36,22.18,8.69,4.79,1.98,37.2,19.78,2.39,0,0,,0,215.29,0,0.32,0.39,8.09,59.87,502.72,6459.88,915.9,24.39,9.75,4.63,1.78,41.26,19.24,2.12,0.35,0.22,34.33,111999.55,16.81
203,2,2,3,1,4,RYEL,2,7.91,92.79,731.3,4739.72,991.41,15.68,3.48,5.07,2.55,33.83,21.42,3.2,1.69,0.33,7.84,74.54,627.25,4775,921.31,24.24,8.29,4.89,2.23,33.2,20.33,2.66,1,40.7,40.7,12.92,0,1291.72,0.46,0.38,8.31,79.65,559.26,5211.71,960.28,26.57,6.63,5.32,2.31,35.54,19.27,2.13,0.6,0.33,31,108444.01,15.1
204,2,2,2,3,3,CCH,2,7.75,74.98,602.38,4481.63,1052.64,9.17,1.72,5.36,2.41,32.69,20.87,2.9,1.31,0.54,8.16,60.81,482.75,4504.71,976.78,31.82,8.34,5.15,2.23,31.97,19.73,2.37,,37.9,,,9687.93,215.29,0.35,0.46,7.77,65.13,499.39,4888.51,1004.26,26.27,5.4,5.27,1.89,34.13,19.43,2.22,0.49,0.21,35.67,118221.75,16
205,2,2,2,1,1,CCL,2,7.77,78.98,605.03,4501.64,1041.89,5.99,1.5,5.33,2.56,32.69,20.9,3,1.09,0.41,7.71,65.76,510.38,4455.19,974.06,27.07,7.91,5.18,2.53,31.75,20.6,2.8,2.3,37.3,16.22,14.85,215.29,645.86,0.69,0.33,8.08,77.89,560.55,4546.07,1046.5,17.79,5.5,5.33,2.51,32.89,20.14,2.57,0.74,0.24,33.33,105777.35,16.55
206,2,2,3,3,6,RYEH,2,7.88,63.53,739.99,4838.05,1001.42,13.07,3.41,5.14,2.38,34.42,21.2,3.1,1.51,0.35,8.1,47.14,554.15,4871.57,964.73,22.65,8.69,5.08,3.29,33.85,20.38,2.69,1.1,38.3,34.82,14.21,0,1291.72,0.52,0.45,7.78,66.62,537.81,4768.42,1011.19,21.01,6.02,5.22,2.19,33.67,20.38,2.69,1.01,0.22,33.67,88888.53,13.62
207,2,2,1,1,7,RADL,2,8.1,50.43,565.38,6330.16,746.2,10.27,4.67,4.61,1.82,39.31,20.03,2.5,1.06,0.34,7.88,68.8,539.42,6460.42,743.62,29.11,9.68,4.61,2.12,39.95,20.95,2.98,0,0,,0,215.29,0,0.29,0.44,8.07,47.88,532.17,6426.15,781.76,20.5,7.56,4.57,1.76,40.04,19.98,2.49,0.6,0.23,36,104888.47,14.82
208,2,2,3,2,5,RYEM,2,7.91,52.04,543.39,5908.84,771.2,13.29,2.53,4.99,2.13,37.37,20.74,2.9,1.32,0.39,8.12,44.6,470.22,6447.89,749.32,24.46,9.24,4.84,2.03,39.74,20.03,2.51,1.1,39.5,35.91,11.84,0,1076.44,0.43,0.41,7.9,41.4,523.79,6565.95,747.04,15.91,7.34,4.51,1.68,40.41,20.06,2.53,0.63,0.28,30.67,109332.9,14.8
209,2,2,2,2,2,CCM,2,8,47.15,678.54,5458.23,784.52,18.8,2.41,5.31,2.2,35.59,21.42,3.2,1.67,0.44,7.97,41.77,563.4,6452.93,736.72,23.92,11.71,5.36,2.16,39.9,20.19,2.6,2.3,39.2,17.04,19.81,215.29,861.15,0.65,0.52,7.92,34.81,461.91,5686.26,776.34,22.68,6.1,5.19,1.75,36.13,19.46,2.23,0.45,0.23,36.67,113777.32,17.53
210,2,2,1,3,9,RADH,2,7.7,49.6,563.37,4711.22,920.48,5.64,1.83,5.76,2.12,32.63,20.85,2.9,1.57,0.46,8.22,52.24,521.82,4934.57,808.85,23.13,8.78,5.52,2.24,32.79,20.27,2.64,0,0,,0,1076.44,0,0.73,0.26,7.85,40.86,481.56,5137.51,827.91,21.88,5.89,5.6,1.88,33.86,19.81,2.41,0.45,0.4,37,107555.13,17.21
301,2,3,3,1,4,RYEL,2,7.47,77.54,664.69,4370.48,1062.46,0.4,2.84,5.06,3.39,32.33,21.33,3.1,1.88,0.38,7.46,75.11,570.88,4242.92,1025.82,20.53,8.31,5.09,2.74,31.24,20.68,2.84,1.5,42.7,28.47,16.15,0,1076.44,0.67,0.36,7.56,59.41,493.38,4414.14,1072.32,18.76,5.22,5.25,2.44,32.28,20.36,2.68,0.45,0.37,36.67,97777.39,16.53
302,2,3,2,1,1,CCL,2,7.83,63.02,753.16,5766.9,968.72,9.41,5.91,4.61,2.1,38.81,20.79,2.9,2.14,0.45,8.16,69.51,504.21,5373.59,921.32,26.07,8.89,4.88,2.08,35.89,19.3,2.15,0,0,,0,215.29,0,0.37,0.54,7.75,80.12,594.17,4678.94,1000.59,20.63,6.12,5.23,2.14,33.27,19.89,2.45,0.71,0.27,35,123555.06,18.58
303,2,3,3,2,5,RYEM,2,7.95,90.71,634.46,4865.11,911.62,9.25,1.89,4.95,2.23,33.52,20.38,2.7,1.57,0.2,7.87,74.84,616.75,5110.54,911.55,26.53,8.55,5.03,2.28,34.78,20.25,2.62,1.1,42,38.18,7.1,0,645.86,0.47,0.35,7.98,82.5,568.57,4774.25,927.27,19.68,5.28,5.13,2.32,33.07,19.59,2.3,0.45,0.13,32.67,98666.27,16.07
304,2,3,2,3,3,CCH,2,7.84,70.76,709.35,4727.86,931.35,10.1,4.4,4.85,2.29,33.19,21.72,3.4,2.4,0.46,8.09,62.98,561.8,5034.26,873.4,24.05,8.7,5,2.18,33.93,20.68,2.84,1.4,42.1,30.07,0,430.57,0,0.48,0.64,7.89,32.58,441.24,5801.06,894.24,23.28,5.5,4.85,1.4,37.63,18.91,1.96,0.37,0.19,34,95110.73,15.31
305,2,3,3,3,6,RYEH,2,7.85,57.36,644.24,4712.41,939.38,14.13,1.79,4.85,2.19,33.03,21.2,3.1,1.61,0.28,7.87,47.36,524.46,4896.58,913.02,25.38,8.68,4.83,2.18,33.48,20.17,2.58,1.4,21.9,15.64,12.06,0,861.15,0.61,0.4,7.9,47.33,514.3,5479.63,905.37,21,6.45,4.69,2.33,36.29,20.08,2.54,0.38,0.22,36.67,102221.81,15.7
306,2,3,1,3,9,RADH,2,7.93,47.71,727.08,4759.68,976.52,13.92,2.03,4.84,2.05,33.79,21.06,3,2.37,0.38,7.89,84.69,591.92,4611.92,945.03,24.51,9.02,4.89,2.56,32.49,21.23,3.11,0,0,,0,0,645.86,0.73,0.47,7.78,49.87,652.43,5401.87,975.54,20.97,7.82,4.84,2.1,36.83,20.79,2.9,1.04,0.37,33.67,105777.35,15.61
307,2,3,1,2,8,RADM,2,8.03,49.75,577.53,6841.38,729.3,1.13,5.13,4.6,1.78,41.72,20.19,2.6,1.36,0.45,8.32,46.58,507.74,6816.76,736.91,27.2,10.4,4.69,1.9,41.59,19.49,2.24,0,0,,0,215.29,0,0.36,0.41,7.94,30.93,449.61,6908.07,772.95,19.66,7.4,4.28,1.32,42.16,19.13,2.07,0.41,0.22,36.67,103110.7,17.27
308,2,3,4,0,10,FALL,2,8.1,37.87,575.34,7316.68,695.72,13.2,6.37,4.38,1.62,43.86,19.76,2.4,1.61,0.3,7.92,42.58,488.69,6783.07,673.96,21.87,9.99,4.54,1.83,40.83,20.17,2.58,0,0,,0,3014.02,0,0.36,0.36,7.98,22.35,470.26,6957.07,713.41,21.2,8.8,4.69,1.44,41.98,18.83,1.92,0.45,0.25,35,110221.78,16.79
309,2,3,1,1,7,RADL,2,8.01,42.03,722.72,6949.64,698.16,18.51,6.62,4.6,1.91,42.45,21.14,3.1,2.24,0.26,8.17,47.87,575.5,6775.87,687.31,20.72,9.7,4.68,2.02,41.12,20.68,2.84,2.3,30.4,13.22,9.9,215.29,430.57,0.65,0.23,8.03,25.23,457.97,6884.86,700.55,17.38,8.39,4.58,1.99,41.46,19.59,2.3,0.4,0.21,39.67,103999.58,18.84
310,2,3,2,2,2,CCM,2,8.08,36.99,597.13,5611.33,757.75,14.15,4.5,5.01,1.76,35.91,20.27,2.6,,0.83,7.86,38.29,477.33,5573.98,773.07,23.67,9.31,4.99,2.05,35.58,20,2.5,2.4,40.9,17.04,10.33,0,430.57,0.67,0.45,7.67,45.88,507.8,4340.14,1001.92,21.29,5.13,5.96,2.42,31.37,20.17,2.58,0.62,0.39,38.33,89777.42,17.07
